SOC,Project Name,Customer
ZCS25-111,Ppjo - Provision Of Hyper-V Maintenance & Support Services,Pttep Jdx & Pc Jda Joint Operations Sdn Bhd
ZCS25-037,Punb -Microsoft Windows Server 2025 With Cal And Microsoft Sql Server 2022 With Cal For Ccms Server,Perbadanan Usahawan Nasional Berhad (Punb)
ZCS24-139,Remark Solutions - Additional License Subscription Of Microsoft Business Premium & Exchange Online Plan 2,Remark Solutions Asia Pte Ltd
ZCS25-059,Remark Solutions - Microsoft 365 Business Premium X 6 & Exchange Online (Plan 2) X 2 Add On,Remark Solutions Asia Pte Ltd
ZCS24-110,Remark Solutions - Microsoft 365 Tenant Migration Exercise,Remark Solutions Asia Pte Ltd
ZCS24-137,Remark Solutions - Power Bi Premium Plan Subscription X 3 Units,Remark Solutions Asia Pte Ltd
ZCS25-113,Remark Solutions - Software And Support Renewal 2026,Remark Solutions Asia Pte Ltd
ZCS25-128,"Risda - Develop, Upply, Deliver, Install, Integrate, Configure, Test, Commission & Maintain The Risda Audit Dashboard System",Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah (Risda)
ZCS25-018,Rizkika/Bintulu -  Geotrust - True Businessid Wildcard For 3 Years,Rizkika Coastrade & Journey Sdn Bhd
ZCS23-028,"Rizkika/Bintulu - Developing, Implementing, Hosting, Testing And Commissioning Of Intranet Portal For Bintulu Port",Rizkika Coastrade & Journey Sdn Bhd
ZCS24-099,Sd Guthrie Research - Leasing Laptops & Workstations On 3-Years Term With Annual Payments,Sd Guthrie Research Sdn Bhd
ZCS24-068,Seda -  Dell Lto 8 Tape X 8,Sustainable Energy Development Authority Malaysia (Seda)
ZCS25-105,Seda - Dell Hardware Warranty Renewal 2025 - 1 Year,Sustainable Energy Development Authority Malaysia (Seda)
ZCS24-132,Seda - Microsoft 365 Business Basic Subscription X 10 - 1 Year (18/2/2025 - 17/2/2026),Sustainable Energy Development Authority Malaysia (Seda)
ZCS25-141,Seda - Renewal Of Microsoft Office Basic Plan License (18/2/26 - 18 /2/27),Sustainable Energy Development Authority Malaysia (Seda)
ZCS24-130,Seda - Sectigo Ssl Wildcard Renewal - 1 Year,Sustainable Energy Development Authority Malaysia (Seda)
ZCS24-082,Seda - Supply Dell Me5012 Storage Array And Configuration Services To Dell Server,Sustainable Energy Development Authority Malaysia (Seda)
ZCS24-142,Seda - Trend Micro License Renewal And Onsite Support - 1 Year (7/3/2025 - 6/3/2026),Sustainable Energy Development Authority Malaysia (Seda)
ZCS23-081,Sengenics - Professional Service To Install And Configure 1 Unit Of High-End Workstation To Connect To Local Network,Sengenics Sdn Bhd
ZCS24-009,Sengenics - Sage Server Hosting (Ovh Cloud Annual Subscription) - Auto Renewed On 12/3/2025,Sengenics Sdn Bhd
ZCS24-004,Sengenics - Trend Micro License Renewal,Sengenics Sdn Bhd
ZCS23-011,Sengenics - Trend Micro License Renewal,Sengenics Sdn Bhd
ZCS24-148,Sengenics - Virtual Private Server For Sage300 Renewal And Zen Onsite Support - 1 Year (12/3/2025 - 11/3/2026),Sengenics Sdn Bhd
ZCS25-017,"St - Vmware License, Lenovo Hardware Renewal And Onsite Support Renewal - 1 Year (9/4/2025 - 8/4/2026)",Suruhanjaya Tenaga
ZCS24-075,Suk Penang - Support For Sistem Pinjaman Penuntut - 1 Year (20/9/2024 - 19/9/2025),Pejabat Setiausaha Kerajaan Negeri Pinang (Suk Penang)
ZCS25-073,Suk Penang - Support For Sistem Pinjaman Penuntut - Year 2 Renewal (11/9/2025 - 10/9/2026),Pejabat Setiausaha Kerajaan Negeri Pinang (Suk Penang)
ZCS25-013,Suk Selangor - Hpe And Dell Server Warranty Renewal And Zen Support For 3 Years (28/4/2025 - 27/4/2028),Pejabat Setiausaha Kerajaan Negeri Selangor Darul Ehsan (Suk Selangor)
ZCS23-113,Supply Seagate Hard Drive And Installation Services,The International School Of Kuala Lumpur (Iskl)
Support,Support,Support
ZCS23-057,Sustainable (Seda) - Commvault Software & Renewal,Sustainable Energy Development Authority Malaysia (Seda)
ZCS24-040,Tbnsa - Portal Development For Tbnsa,Taman Botani Negara Shah Alam (Tbnsa)
ZCS24-042,Teras  - Dell Poweredge R7515 Rack Server,Teras Teknologi Sdn Bhd
ZCS23-153,Teras - Supply Nvidia Jetson Orin Nano Products,Teras Teknologi Sdn Bhd
ZCS25-137,Teras Control - Dell Poweredge R7615 Purchase,Teras Control Systems Sdn Bhd
ZCS24-147,Teras Control - Nvidia Jetson Agx Orin (64gb Ram) Dev Kit,Teras Control Systems Sdn Bhd
ZCS23-112,Th - Microsoft 365 Security Enablement And Support Services Provider (Intune/Dlp/Aip/Mcas Azure Conditional Access),Lembaga Tabung Haji
ZCS23-135,The Provision Of Group Wide Website Project For Bintulu,Rizkika Coastrade & Journey Sdn Bhd
ZCS23-035,Tnb Labs - Dell Poweredge Tower Server & Dell 17 Monitor,Tnb Labs Sdn Bhd
ZCS24-029,Tnb Labs - Mini Projector Mp250,Tnb Labs Sdn Bhd
ZCS25-058,Tnb Labs - Supply And Deliver It Equipments,Tnb Labs Sdn Bhd
ZCS24-071,"Tnb Remaco-Trend Micro Portable Security V3.X, Standard - (Including 1 Yr Hw Warranty + Sw Renewal) (25/09/2024 - 24/9/26)",Tnb Repair And Maintenance Sdn Bhd (Tnb Remaco)
ZCS23-073,Tnb Repair - Synology Hardware,Tnb Repair And Maintenance Sdn Bhd (Tnb Remaco)
ZCS24-085,"Tnb Research - Dell Laptop - Latitude 3550, Xcto",Tnb Research Sdn Bhd
ZCS23-030,Tnb Research - Hp Color Laserjet Printer X 1 And Dell Latitude X 1,Tnb Research Sdn Bhd
ZCS23-017,Tnb Research - Ict Equipment (Microsoft Surface Pro 9 X 1 Unit),Tnb Research Sdn Bhd
ZCS23-074,"Tnb Research - Laptop Purchase (Dell Latitude X 2 Units, Dell Screen Monitor, Laptop Dell, Dell Moblie Workstation)",Tnb Research Sdn Bhd
ZCS25-007,Tnb Research - Notebook (Yoga),Tnb Research Sdn Bhd
ZCS25-014,Tnb Research - Notebook Thinkpad E14 Gen 6 Amd,Tnb Research Sdn Bhd
ZCS24-037,Tnb Research - Sony A7 Mark Iii With Fe 28-70mm F/3.5-5 & Zhiyun Weebill 3s Handheld Gimbal Stabilizer,Tnb Research Sdn Bhd
ZCS24-039,Tnb Research - Sony Zv-1 Digital Camera,Tnb Research Sdn Bhd
ZCS23-071,"Tnb Research - Supply Led Tv (65'' & 75"") And Tv Stand",Tnb Research Sdn Bhd
ZCS23-133,Tnb Research - Supply Lenovo Thinkpad & Lenovo Thinkbook,Tnb Research Sdn Bhd
ZCS25-071,Tng - Digicert Wildcard Ssl 1 Year,Touch N Go Sdn Bhd
ZCS25-019,Tngo - Digicert Wildcard Ssl 1 Year,Touch N Go Sdn Bhd
ZCS24-109,Tomms - Sql Server 2022 - 1 User Cal & Standard Edition,Tomms Systems Sdn Bhd
ZCS23-063,Tomms/Trx - Sql Cluster And Hyper-V Host Cluster Upgrade,Tomms Systems Sdn Bhd
Training/Seminar/Event,Training/Seminar/Event,Training/Seminar/Event
ZCS23-157,Trx  District - Broadcom 5719 Quad Port 1gbe Network Card,Trx District Management Sdn Bhd
ZCS24-001,Trx - Active Directory & Windows Upgrade,Trx City Sdn Bhd
ZCS23-110,"Trx - Server And Peripherals (Supply Sw, Hw, Services & 3 Years Support)",Trx District Management Sdn Bhd
ZCS23-029,"Trx - Supply, Deliver, Implement And Maintenance Support Services Of It Server",Trx City Sdn Bhd
ZCS24-066,Trx - Veeam Licenses - Migration From Perpetual To Subscription,Trx City Sdn Bhd
ZCS23-067,Trx - Vmware Upgrade Services,Trx City Sdn Bhd
ZCS24-043,Trx - Vmware Vsphere Standard Subscription,Trx City Sdn Bhd
ZCS25-009,Trx City - Dell Hardware Maintenance Renewal (15/4/2025 - 14/4/2026),Trx City Sdn Bhd
ZCS24-094,Trx City - Dell Hardware Renewal (Poweredge R740),Trx City Sdn Bhd
ZCS25-075,Trx City - Dell Me4024 Hardware Maintenance Renewal,Trx City Sdn Bhd
ZCS24-107,Trx City - Dell Me5023 Storage Array & Services,Trx City Sdn Bhd
ZCS25-129,"Trx City - Dell Poweredge R660xs Purchase, Services & Support",Trx City Sdn Bhd
ZCS25-083,Trx City - Dell Poweredge Renewal,Trx City Sdn Bhd
ZCS25-032,Trx City - Employee Collaboration Portal For Microsoft Sharepoint Online - Document Management And Business Process Digitalization,Trx City Sdn Bhd
ZCS25-045,"Trx City - Hardware Supply, Professional Services & 1 Year Support Maintenance For Hardware Tech Refresh 2025",Trx City Sdn Bhd
ZCS25-076,Trx City - Manpower Outsourced - System/Application Resident Engineer For 1 Year,Trx City Sdn Bhd
ZCS25-143,Trx City - Vmware Infrastructure And Microsoft System Maintenance And Support Scope Renewal,Trx City Sdn Bhd
ZCS24-133,Trx City - Vmware Infrastructure And Microsoft System Maintenance Support Renewal - 1 Year (1/2/2025 - 31/1/2026),Trx City Sdn Bhd
ZCS25-050,Trx City - Vmware Vsphere Purchase,Trx City Sdn Bhd
ZCS25-035,Trx City - Wildcard Ssl And Dell Hardware Renewal - 1 Year,Trx City Sdn Bhd
ZCS25-090,Trx District - Dell Hardward Renewal,Trx District Management Sdn Bhd
ZCS24-093,Trx District - Dell Hardware Renewal (Poweredge R440 & Dell Emc Powervault),Trx District Management Sdn Bhd
ZCS25-061,Trx District - It Support Resource Services (Resident Engineers For 1 Year),Trx District Management Sdn Bhd
ZCS25-144,Trx District - Microsoft And Veeam Systems Support Services Renewal,Trx District Management Sdn Bhd
ZCS24-127,Tt Dotcom - Consolidated Server Hardware Maintenance,Tt Dotcom Sdn Bhd
ZCS23-160,Tt Dotcom - Supply Microsoft Sql Server Enterprise Core Edition License,Tt Dotcom Sdn Bhd
ZCS25-047,Tt Dotcom - Support And Services For Active Directory And Microsoft Exchange,Tt Dotcom Sdn Bhd
ZCS24-088,Upeca - Commvault And Dell Hardware Renewal,Upeca Aerotech Sdn Bhd
ZCS25-091,Upeca Aerotech - Commvault License And Dell Hardware Renewal,Upeca Aerotech Sdn Bhd
ZCS23-159,"Usim - Dell Hardware Supply,Software Implementation, Training & Support For Pangkalan Data Sistem Maklumat",Universiti Sains Islam Malaysia (Usim)
ZCS25-104,Usim - Pembaharuan Langganan Lesen Pangkalan Data Mysql,Universiti Sains Islam Malaysia (Usim)
ZCS24-138,Usim - Veeam License Renewal And Support Maintenance Renewal - 1 Year (1/2/2025 - 31/1/2026),Universiti Sains Islam Malaysia (Usim)
ZCS25-025,Usim - Vmware License And Onsite Support Renewal,Universiti Sains Islam Malaysia (Usim)
ZCS24-059,Utp - Development Of Ignite Website,University Teknology Petronas (Utp)
ZCS25-021,Utp - Professional Services Of Server Upgrade For Vms For Prism Historical Report,University Teknology Petronas (Utp)
ZCS23-137,Utp - Renewal Of Microsoft Enterprise Infrastructure Comprehensive Maintenance Support Services,University Teknology Petronas (Utp)
ZCS25-130,Utp - Renewal Of Microsoft Enterprise Infrastructure Comprehensive Maintenance Support Services - 12 Months (1/2/2026 - 31/1/2027),Institute Of Technology Petronas Sdn Bhd
ZCS24-136,Utp - Renewal Of Microsoft Enterprise Infrastructure Comprehensive Maintenance Support Services 12 Months (1/2/2025 - 31/1/2026),University Teknology Petronas (Utp)
ZCS25-022,Utp - Update Of Utp Portal - Directories Page,University Teknology Petronas (Utp)
ZCS24-074,Zok Noodle - Development Of Stock And Sales Management For Zok Noodle House,Zok Noodle House Sdn Bhd
